#vA = 1
#vB = 1
#vS = 1
#XAB = -2
#XAS = 3
#XBS = 1
#wA = 1
#wB = 1
#wS = 1
#zA = 1
#zB = -1
#kaA = 1
#kaB = 1
#ep = 0.11429
#dt1 = 0.0001
#dt2 = 0.01
#init_iters = 1000
#iter_write = 1000
#iter_max = 100000
#L = 100
#N = 128
#dx = 0.78125
#t = 990.099999999245
#
# x  cA(x)  cB(x)  psi(x)
-49.609375 0.431591418586338 0.428675591586841 0.7
-48.828125 0.430088951847282 0.429476437986835 0.704276660008325
-48.046875 0.429672663153559 0.429643790980424 0.704303871802296
-47.265625 0.429609214680155 0.429645688300587 0.704027307701286
-46.484375 0.429612853888077 0.429628587861223 0.703888914993286
-45.703125 0.429614247719985 0.429618052877376 0.703852390209725
-44.921875 0.429610260852614 0.429610052582672 0.703832825929617
-44.140625 0.429602857800139 0.429602389617586 0.703817829475481
-43.359375 0.429594182961663 0.4295936273759 0.703797841354504
-42.578125 0.429584257742832 0.429583861317908 0.703776553856591
-41.796875 0.429573352082388 0.429572921459719 0.703752124520654
-41.015625 0.429561319745425 0.429560916861977 0.70372592385017
-40.234375 0.42954821165219 0.42954780487304 0.703697379269794
-39.453125 0.429534014000237 0.429533591140866 0.703666586574538
-38.671875 0.429518691400408 0.429518297148949 0.703633827529292
-37.890625 0.429502308753623 0.429501871396696 0.703598488806197
-37.109375 0.429484767172496 0.429484382793486 0.703561448997345
-36.328125 0.429466188114073 0.429465738945983 0.703521576540812
-35.546875 0.42944642222463 0.429446046756081 0.703480221331171
-34.765625 0.429425639138409 0.42942517952978 0.703435814862257
-33.984375 0.429403644731301 0.429403278377413 0.703390127646692
-33.203125 0.42938065406185 0.42938018480915 0.703341183465383
-32.421875 0.429356429710348 0.42935607349374 0.703291162240012
-31.640625 0.429331232672225 0.429330754256863 0.703237678801552
-30.859375 0.429304781043298 0.429304436643596 0.703183336063126
-30.078125 0.429277384547912 0.429276897235811 0.703125317562452
-29.296875 0.42924871356962 0.429248383268953 0.703066681640824
-28.515625 0.429219131261932 0.429218635117613 0.703004140554447
-27.734375 0.42918825519458 0.42918794188395 0.702941257711429
-26.953125 0.429156508535591 0.429156003377193 0.702874216649212
-26.171875 0.429123448948015 0.429123156178995 0.702807153667116
-25.390625 0.429089568307534 0.429089053609552 0.70273564660973
-24.609375 0.429054354939692 0.429054087021536 0.702664493786426
-23.828125 0.429018380680405 0.429017855418373 0.70258856663344
-23.046875 0.428981052160084 0.428980814313836 0.702513441231117
-22.265625 0.428943035707794 0.428942498127798 0.702433151463163
